# See the documentation on the wiki to learn how to edit this file.
#-------------------------------
[Move,SING]
Name = SING
<User>
    SetX = 0,128
    SetY = 0,224
<Target>
    SetX = 0,384
    SetY = 0,96
<Particle 2>
    Graphic = poi.hear.mus
    Focus = Target
    SetX = 0,200
    SetY = 0,211
    SetX = 1,212
    SetY = 1,227
    SetX = 2,219
    SetY = 2,223
    SetX = 3,241
    SetY = 3,193
    SetX = 4,255
    SetY = 4,194
    SetX = 5,252
    SetY = 5,198
    SetX = 6,264
    SetY = 6,163
    SetX = 7,310
    SetY = 7,172
    SetX = 8,336
    SetY = 8,142
    SetX = 9,240
    SetY = 9,223
    SetX = 10,255
    SetY = 10,220
    SetX = 11,350
    SetY = 11,115
    SetX = 12,249
    SetY = 12,208
    SetX = 13,262
    SetY = 13,202
    SetX = 14,293
    SetY = 14,188
    SetX = 15,228
    SetY = 15,222
    SetX = 16,241
    SetY = 16,215
    SetX = 17,281
    SetY = 17,220
    SetX = 18,316
    SetY = 18,186
    SetX = 19,345
    SetY = 19,170
    SetX = 20,247
    SetY = 20,225
    SetX = 21,296
    SetY = 21,218
    SetX = 22,229
    SetY = 22,243
    SetX = 23,255
    SetY = 23,236
    SetX = 24,401
    SetY = 24,90
    SetX = 25,272
    SetY = 25,217
    SetX = 26,286
    SetY = 26,208
    SetX = 27,318
    SetY = 27,207
    SetX = 28,265
    SetY = 28,213
    SetX = 29,285
    SetY = 29,218
    SetX = 30,315
    SetY = 30,202
    SetX = 31,251
    SetY = 31,221
    SetX = 32,278
    SetY = 32,213
    SetX = 33,314
    SetY = 33,197
    SetX = 34,280
    SetY = 34,207
    SetX = 35,317
    SetY = 35,212
    SetX = 36,218
    SetY = 36,234
    SetX = 37,299
    SetY = 37,197
    SetX = 38,349
    SetY = 38,171
    SetX = 39,404
    SetY = 39,142
    SetX = 40,427
    SetY = 40,104
    SetX = 41,431
    SetY = 41,90
    SetX = 42,410
    SetY = 42,88
    SetY = 43,93
    SetX = 44,355
    SetY = 44,65
    SetX = 45,388
    SetY = 45,57
    SetX = 46,400
    SetY = 46,48
    SetX = 47,410
    SetY = 47,36
    SetX = 48,436
    SetX = 49,432
    SetY = 49,14
    SetX = 50,435
    SetY = 50,9
    SetX = 51,438
    SetY = 51,11
