# See the documentation on the wiki to learn how to edit this file.
#-------------------------------
[Move,DRAGONDANCE]
Name = Essentials
NoTarget = true
HidesDataBoxes = true
Credit = Maruno
<User>
    FoeInvertX = true
    SetX = 0,0
    SetColor = 0,F8000000
    MoveX = 0,1,4
    MoveColor = 0,6,F80000A0
    MoveX = 1,2,-4
    MoveX = 3,2,4
    MoveX = 5,2,-4
    MoveX = 7,2,4
    SetColor = 9,F80000A0
    MoveX = 9,2,-4
    MoveColor = 9,6,F8000000
    MoveX = 11,2,4
    MoveX = 13,2,-4
    MoveX = 15,2,4
    MoveX = 17,2,-4
    SetColor = 18,F8000000
    MoveColor = 18,6,F80000A0
    MoveX = 19,2,4
    MoveX = 21,2,-4
    MoveX = 23,2,4
    MoveX = 25,2,-4
    SetColor = 27,F80000A0
    MoveX = 27,2,4
    MoveColor = 27,6,F8000000
    MoveX = 29,2,-4
    MoveX = 31,2,4
    MoveX = 33,2,-4
    MoveX = 35,2,4
    SetColor = 36,F8000000
    MoveColor = 36,6,F80000A0
    MoveX = 37,2,-4
    MoveX = 39,1,0
    SetColor = 45,F80000A0
    MoveColor = 45,6,F8000000
<Black cloud emitter 1>
    Focus = User
    Graphic = cloud 1
    InitialAngle = None
    RandomAngleRange = 180
    RandomInvertFlip = true
    Emitter = Helix
    EmitterRate = 10
    SetZ = 2,20
    SetZoomX = 2,40
    SetZoomY = 2,40
    SetVisible = 2,true
    SetOpacity = 2,0
    SetColor = 2,100000E8
    SetEmitterY = 2,64
    SetEmitting = 2,true
    SetEmitSpeed = 2,-120
    SetEmitDirectionRange = 2,180
    SetEmitPeriodX = 2,40
    SetEmitPeriodXRange = 2,5
    SetEmitPeriodZ = 2,40
    SetEmitZoomRange = 2,20
    SetRadiusX = 2,64
    MoveOpacity = 2,11,128
    MoveZoomX = 2,27,160
    MoveZoomY = 2,27,160
    SetOpacity = 18,128
    MoveOpacity = 18,11,0
    SetVisible = 29,false
    SetEmitting = 41,false
<Black cloud emitter 2>
    Focus = User
    Graphic = cloud 1
    InitialAngle = None
    RandomAngleRange = 180
    RandomInvertFlip = true
    Emitter = Helix
    EmitterRate = 10
    SetZ = 2,20
    SetZoomX = 2,40
    SetZoomY = 2,40
    SetVisible = 2,true
    SetOpacity = 2,0
    SetColor = 2,100000E8
    SetEmitting = 2,true
    SetEmitSpeed = 2,-120
    SetEmitDirectionRange = 2,180
    SetEmitPeriodX = 2,40
    SetEmitPeriodXRange = 2,5
    SetEmitPeriodZ = 2,40
    SetEmitZoomRange = 2,20
    SetRadiusX = 2,64
    MoveOpacity = 2,11,128
    MoveZoomX = 2,27,160
    MoveZoomY = 2,27,160
    SetOpacity = 18,128
    MoveOpacity = 18,11,0
    SetVisible = 29,false
    SetEmitting = 36,false
<Red cloud emitter 1>
    Focus = User
    Graphic = cloud 1
    InitialAngle = None
    RandomAngleRange = 180
    RandomInvertFlip = true
    Emitter = Helix
    EmitterRate = 2
    SetZ = 2,10
    SetZoomX = 2,40
    SetZoomY = 2,40
    SetVisible = 2,true
    SetOpacity = 2,0
    SetColor = 2,F80000E8
    SetEmitterY = 2,64
    SetEmitting = 2,true
    SetEmitSpeed = 2,-120
    SetEmitDirectionRange = 2,180
    SetEmitPeriodX = 2,40
    SetEmitPeriodXRange = 2,5
    SetEmitPeriodZ = 2,40
    SetEmitZoomRange = 2,20
    SetRadiusX = 2,64
    MoveOpacity = 2,11,128
    MoveZoomX = 2,27,160
    MoveZoomY = 2,27,160
    SetOpacity = 18,128
    MoveOpacity = 18,11,0
    SetVisible = 29,false
    SetEmitting = 41,false
<Red cloud emitter 2>
    Focus = User
    Graphic = cloud 1
    InitialAngle = None
    RandomAngleRange = 180
    RandomInvertFlip = true
    Emitter = Helix
    EmitterRate = 2
    SetZ = 2,10
    SetZoomX = 2,40
    SetZoomY = 2,40
    SetVisible = 2,true
    SetOpacity = 2,0
    SetColor = 2,F80000E8
    SetEmitting = 2,true
    SetEmitSpeed = 2,-120
    SetEmitDirectionRange = 2,180
    SetEmitPeriodX = 2,40
    SetEmitPeriodXRange = 2,5
    SetEmitPeriodZ = 2,40
    SetEmitZoomRange = 2,20
    SetRadiusX = 2,64
    MoveOpacity = 2,11,128
    MoveZoomX = 2,27,160
    MoveZoomY = 2,27,160
    SetOpacity = 18,128
    MoveOpacity = 18,11,0
    SetVisible = 29,false
    SetEmitting = 36,false
<Electricity emitter 1>
    Focus = User
    Graphic = electricity 1
    InitialAngle = None
    RandomAngleRange = 180
    RandomInvertFlip = true
    Emitter = Helix
    EmitterRate = 12
    SetX = 2,0
    SetY = 2,0
    SetZ = 2,30
    SetZoomX = 2,40
    SetZoomY = 2,40
    SetAngle = 2,0
    SetVisible = 2,true
    SetOpacity = 2,0
    SetColor = 2,00F9F8E8
    SetFrame = 2,1
    SetEmitterY = 2,64
    SetEmitting = 2,true
    SetEmitSpeed = 2,-120
    SetEmitSpeedRange = 2,20
    SetEmitDirectionRange = 2,180
    SetEmitPeriodX = 2,40
    SetEmitPeriodXRange = 2,5
    SetEmitPeriodZ = 2,40
    SetEmitZoomYRange = 2,20
    SetRadiusX = 2,64
    MoveX = 2,3,10
    MoveY = 2,3,-10
    MoveAngle = 2,3,230
    MoveZoomX = 2,11,70
    MoveZoomY = 2,11,70
    MoveOpacity = 2,11,160
    MoveX = 5,3,0
    MoveY = 5,3,-5
    MoveAngle = 5,3,60
    MoveX = 8,3,5
    MoveY = 8,3,5
    MoveAngle = 8,3,350
    MoveX = 11,3,-5
    MoveY = 11,3,0
    MoveAngle = 11,3,140
    MoveX = 14,3,-10
    MoveY = 14,3,10
    MoveAngle = 14,3,280
    MoveX = 17,3,0
    MoveY = 17,3,5
    MoveAngle = 17,3,50
    SetOpacity = 18,160
    MoveOpacity = 18,11,0
    MoveX = 20,3,5
    MoveY = 20,3,-5
    MoveAngle = 20,3,220
    MoveX = 23,3,-5
    MoveY = 23,3,0
    MoveAngle = 23,3,90
    MoveX = 26,3,5
    MoveY = 26,3,-5
    MoveAngle = 26,3,160
    SetVisible = 29,false
    SetEmitting = 41,false
<Electricity emitter 2>
    Focus = User
    Graphic = electricity 1
    InitialAngle = None
    RandomAngleRange = 180
    RandomInvertFlip = true
    Emitter = Helix
    EmitterRate = 12
    SetX = 2,0
    SetY = 2,0
    SetZ = 2,30
    SetZoomX = 2,40
    SetZoomY = 2,40
    SetAngle = 2,0
    SetVisible = 2,true
    SetOpacity = 2,0
    SetColor = 2,00F9F8E8
    SetFrame = 2,1
    SetEmitting = 2,true
    SetEmitSpeed = 2,-120
    SetEmitSpeedRange = 2,20
    SetEmitDirectionRange = 2,180
    SetEmitPeriodX = 2,40
    SetEmitPeriodXRange = 2,5
    SetEmitPeriodZ = 2,40
    SetEmitZoomYRange = 2,20
    SetRadiusX = 2,64
    MoveX = 2,3,10
    MoveY = 2,3,-10
    MoveAngle = 2,3,230
    MoveZoomX = 2,11,70
    MoveZoomY = 2,11,70
    MoveOpacity = 2,11,160
    MoveX = 5,3,0
    MoveY = 5,3,-5
    MoveAngle = 5,3,60
    MoveX = 8,3,5
    MoveY = 8,3,5
    MoveAngle = 8,3,350
    MoveX = 11,3,-5
    MoveY = 11,3,0
    MoveAngle = 11,3,140
    MoveX = 14,3,-10
    MoveY = 14,3,10
    MoveAngle = 14,3,280
    MoveX = 17,3,0
    MoveY = 17,3,5
    MoveAngle = 17,3,50
    SetOpacity = 18,160
    MoveOpacity = 18,11,0
    MoveX = 20,3,5
    MoveY = 20,3,-5
    MoveAngle = 20,3,220
    MoveX = 23,3,-5
    MoveY = 23,3,0
    MoveAngle = 23,3,90
    MoveX = 26,3,5
    MoveY = 26,3,-5
    MoveAngle = 26,3,160
    SetVisible = 29,false
    SetEmitting = 36,false
<SE>
    Play = 0,Dragon/Dragon Dance,80
