# See the documentation on the wiki to learn how to edit this file.
#-------------------------------
[Move,SING]
Name = Example anim
<User>
    SetX = 0,0
    SetY = 0,0
<Target>
    SetX = 0,0
    SetY = 0,0
<Particle 2>
    Graphic = Examples/poi hear mus
    Focus = Target
    SetFrame = 0,7
    SetX = 0,-184
    SetY = 0,115
    SetZ = 0,27
    SetFrame = 1,8
    SetX = 1,-172
    SetY = 1,131
    SetX = 2,-165
    SetY = 2,127
    SetFrame = 3,9
    SetX = 3,-143
    SetY = 3,97
    SetX = 4,-129
    SetY = 4,98
    SetFrame = 5,10
    SetX = 5,-132
    SetY = 5,102
    SetFrame = 6,7
    SetX = 6,-120
    SetY = 6,67
    SetFrame = 7,8
    SetX = 7,-74
    SetY = 7,76
    SetFrame = 8,9
    SetX = 8,-48
    SetY = 8,46
    SetFrame = 9,10
    SetX = 9,-144
    SetY = 9,127
    SetFrame = 10,8
    SetX = 10,-129
    SetY = 10,124
    SetFrame = 11,11
    SetX = 11,-34
    SetY = 11,19
    SetX = 12,-135
    SetY = 12,112
    SetX = 13,-122
    SetY = 13,106
    SetX = 14,-91
    SetY = 14,92
    SetFrame = 15,9
    SetX = 15,-156
    SetY = 15,126
    SetFrame = 16,11
    SetX = 16,-143
    SetY = 16,119
    SetFrame = 17,10
    SetX = 17,-103
    SetY = 17,124
    SetFrame = 18,9
    SetX = 18,-68
    SetY = 18,90
    SetX = 19,-39
    SetY = 19,74
    SetFrame = 20,10
    SetX = 20,-137
    SetY = 20,129
    SetX = 21,-88
    SetY = 21,122
    SetX = 22,-155
    SetY = 22,147
    SetX = 23,-129
    SetY = 23,140
    SetFrame = 24,11
    SetX = 24,17
    SetY = 24,-6
    SetFrame = 25,9
    SetX = 25,-112
    SetY = 25,121
    SetFrame = 26,11
    SetX = 26,-98
    SetY = 26,112
    SetFrame = 27,10
    SetX = 27,-66
    SetY = 27,111
    SetFrame = 28,9
    SetX = 28,-119
    SetY = 28,117
    SetFrame = 29,10
    SetX = 29,-99
    SetY = 29,122
    SetFrame = 30,9
    SetX = 30,-69
    SetY = 30,106
    SetX = 31,-133
    SetY = 31,125
    SetFrame = 32,11
    SetX = 32,-106
    SetY = 32,117
    SetFrame = 33,9
    SetX = 33,-70
    SetY = 33,101
    SetX = 34,-104
    SetY = 34,111
    SetFrame = 35,10
    SetX = 35,-67
    SetY = 35,116
    SetFrame = 36,11
    SetX = 36,-166
    SetY = 36,138
    SetFrame = 37,9
    SetX = 37,-85
    SetY = 37,101
    SetFrame = 38,10
    SetX = 38,-35
    SetY = 38,75
    SetX = 39,20
    SetY = 39,46
    SetFrame = 40,8
    SetX = 40,43
    SetY = 40,8
    SetFrame = 41,11
    SetX = 41,47
    SetY = 41,-6
    SetFrame = 42,10
    SetX = 42,26
    SetY = 42,-8
    SetFrame = 43,11
    SetY = 43,-3
    SetX = 44,-29
    SetY = 44,-31
    SetFrame = 45,10
    SetX = 45,4
    SetY = 45,-39
    SetFrame = 46,11
    SetX = 46,16
    SetY = 46,-48
    SetX = 47,26
    SetY = 47,-60
    SetX = 48,52
    SetX = 49,48
    SetY = 49,-82
    SetFrame = 50,8
    SetX = 50,51
    SetY = 50,-87
    SetFrame = 51,10
    SetX = 51,54
    SetY = 51,-85
    SetVisible = 52,false
<Particle 3>
    Graphic = Examples/poi hear mus
    Focus = Target
    SetFrame = 1,7
    SetX = 1,-173
    SetY = 1,116
    SetZ = 1,28
    SetX = 2,-167
    SetY = 2,113
    SetFrame = 3,8
    SetX = 3,-147
    SetY = 3,105
    SetFrame = 4,10
    SetX = 4,-139
    SetY = 4,110
    SetFrame = 5,8
    SetX = 5,-133
    SetY = 5,111
    SetX = 6,-91
    SetY = 6,98
    SetFrame = 7,7
    SetX = 7,-100
    SetY = 7,53
    SetX = 8,-84
    SetY = 8,54
    SetFrame = 9,9
    SetX = 9,-140
    SetY = 9,96
    SetFrame = 10,11
    SetX = 10,-46
    SetY = 10,27
    SetFrame = 11,9
    SetX = 11,-125
    SetY = 11,109
    SetX = 12,-1
    SetY = 12,0
    SetFrame = 13,8
    SetX = 13,-120
    SetY = 13,104
    SetFrame = 14,9
    SetX = 14,-83
    SetY = 14,89
    SetFrame = 15,8
    SetX = 15,-148
    SetY = 15,136
    SetFrame = 16,10
    SetX = 16,-143
    SetY = 16,124
    SetFrame = 17,8
    SetX = 17,-92
    SetY = 17,115
    SetFrame = 18,10
    SetX = 18,-60
    SetY = 18,104
    SetFrame = 19,11
    SetX = 19,-66
    SetY = 19,66
    SetX = 20,-140
    SetY = 20,105
    SetFrame = 21,9
    SetX = 21,-75
    SetY = 21,97
    SetX = 22,-140
    SetY = 22,122
    SetFrame = 23,8
    SetX = 23,-112
    SetY = 23,132
    SetFrame = 24,10
    SetX = 24,-3
    SetY = 24,17
    SetX = 25,-131
    SetY = 25,126
    SetFrame = 26,8
    SetX = 26,-98
    SetY = 26,113
    SetFrame = 27,9
    SetX = 27,-40
    SetY = 27,95
    SetFrame = 28,10
    SetX = 28,-127
    SetY = 28,126
    SetFrame = 29,11
    SetX = 29,-98
    SetY = 29,97
    SetX = 30,-91
    SetY = 30,94
    SetX = 31,-154
    SetY = 31,113
    SetFrame = 32,9
    SetX = 32,-97
    SetY = 32,105
    SetFrame = 33,10
    SetX = 33,-62
    SetY = 33,112
    SetFrame = 34,11
    SetX = 34,-107
    SetY = 34,110
    SetX = 35,-87
    SetY = 35,80
    SetFrame = 36,9
    SetX = 36,-137
    SetY = 36,130
    SetFrame = 37,11
    SetX = 37,-88
    SetY = 37,99
    SetX = 38,-24
    SetY = 38,52
    SetX = 39,-10
    SetY = 39,34
    SetFrame = 40,10
    SetX = 40,15
    SetY = 40,17
    SetX = 41,41
    SetY = 41,5
    SetFrame = 42,11
    SetX = 42,-8
    SetY = 42,-19
    SetFrame = 43,9
    SetX = 43,27
    SetY = 43,-10
    SetFrame = 44,10
    SetX = 44,-24
    SetY = 44,-9
    SetFrame = 45,11
    SetX = 45,9
    SetY = 45,-48
    SetFrame = 46,8
    SetX = 46,13
    SetY = 46,-41
    SetFrame = 47,10
    SetX = 47,23
    SetY = 47,-39
    SetX = 48,44
    SetY = 48,-48
    SetY = 49,-51
    SetFrame = 50,11
    SetX = 50,45
    SetY = 50,-89
    SetVisible = 51,false
<Particle 4>
    Graphic = Examples/poi hear mus
    Focus = Target
    SetFrame = 2,8
    SetX = 2,-148
    SetY = 2,120
    SetZ = 2,29
    SetVisible = 3,false
<Particle 5>
    Graphic = Examples/poi hear mus
    Focus = Target
    SetFrame = 4,10
    SetX = 4,-127
    SetY = 4,106
    SetZ = 4,29
    SetFrame = 5,7
    SetX = 5,-128
    SetY = 5,78
    SetFrame = 6,9
    SetX = 6,-90
    SetY = 6,77
    SetFrame = 7,8
    SetX = 7,-78
    SetY = 7,70
    SetX = 8,-150
    SetY = 8,147
    SetFrame = 9,11
    SetX = 9,-42
    SetY = 9,49
    SetFrame = 10,10
    SetX = 10,-46
    SetY = 10,36
    SetFrame = 11,11
    SetX = 11,-154
    SetY = 11,102
    SetFrame = 12,9
    SetX = 12,-124
    SetY = 12,99
    SetFrame = 13,10
    SetX = 13,17
    SetY = 13,11
    SetX = 14,43
    SetY = 14,12
    SetX = 15,-55
    SetY = 15,78
    SetFrame = 16,9
    SetX = 16,-110
    SetY = 16,116
    SetX = 17,-91
    SetY = 17,85
    SetFrame = 18,11
    SetX = 18,-80
    SetY = 18,82
    SetFrame = 19,8
    SetX = 19,-157
    SetY = 19,151
    SetFrame = 20,9
    SetX = 20,-30
    SetY = 20,51
    SetFrame = 21,11
    SetX = 21,-108
    SetY = 21,95
    SetFrame = 22,10
    SetX = 22,-63
    SetY = 22,96
    SetFrame = 23,9
