Final form without custom sprite;;pre-evos that have custom sprites;;;
12.3; evolves from : ;12.1;11.1;10.1;
18.3; evolves from : ;16.1;;;
22.3; evolves from : ;21.1;;;
49.3; evolves from : ;49.2;;;
62.3; evolves from : ;60.1;;;
85.3; evolves from : ;84.1;;;
87.3; evolves from : ;86.1;;;
97.3; evolves from : ;96.1;;;
110.3; evolves from : ;110.2;;;
135.3; evolves from : ;135.1;133.1;;
144.3; evolves from : ;144.1;;;
160.3; evolves from : ;158.1;;;
162.3; evolves from : ;162.2;162.1;161.1;
166.3; evolves from : ;165.1;;;
186.3; evolves from : ;186.2;186.1;60.1;
189.3; evolves from : ;189.1;188.1;187.1;
197.3; evolves from : ;133.1;;;
206.3; evolves from : ;206.2;;;
242.3; evolves from : ;113.1;;;
248.3; evolves from : ;246.1;;;
254.3; evolves from : ;190.1;;;
255.3; evolves from : ;200.1;;;
265.3; evolves from : ;111.1;;;
271.3; evolves from : ;271.2;133.1;;
278.3; evolves from : ;276.1;;;
284.3; evolves from : ;282.1;;;
288.3; evolves from : ;285.1;;;
308.3; evolves from : ;308.2;;;
310.3; evolves from : ;310.2;310.1;;
321.3; evolves from : ;320.1;319.1;;
334.3; evolves from : ;334.1;;;
336.3; evolves from : ;395.1;;;
338.3; evolves from : ;399.1;;;
353.3; evolves from : ;402.1;;;
354.3; evolves from : ;403.1;;;
355.3; evolves from : ;404.1;;;
359.3; evolves from : ;359.2;359.1;;
362.3; evolves from : ;411.1;;;
364.3; evolves from : ;364.1;413.1;;
373.3; evolves from : ;373.1;;;
22.6; evolves from : ;22.5;21.4;;
40.6; evolves from : ;174.4;;;
57.6; evolves from : ;56.4;;;
87.6; evolves from : ;86.4;;;
97.6; evolves from : ;96.4;;;
106.6; evolves from : ;236.4;;;
107.6; evolves from : ;236.4;;;
128.6; evolves from : ;128.5;;;
136.6; evolves from : ;133.4;;;
184.6; evolves from : ;252.4;;;
195.6; evolves from : ;194.4;;;
196.6; evolves from : ;133.4;;;
203.6; evolves from : ;203.5;;;
205.6; evolves from : ;205.5;;;
217.6; evolves from : ;217.5;216.4;;
225.6; evolves from : ;225.4;;;
237.6; evolves from : ;236.4;;;
242.6; evolves from : ;259.4;;;
264.6; evolves from : ;108.4;;;
271.6; evolves from : ;271.4;133.4;;
288.6; evolves from : ;285.4;;;
318.6; evolves from : ;318.5;316.4;;
332.6; evolves from : ;388.4;;;
350.6; evolves from : ;350.4;;;
352.6; evolves from : ;401.4;;;
354.6; evolves from : ;403.4;;;
362.6; evolves from : ;411.4;;;
363.6; evolves from : ;412.4;;;
20.9; evolves from : ;19.7;;;
22.9; evolves from : ;21.7;;;
49.9; evolves from : ;48.7;;;
55.9; evolves from : ;55.8;54.7;;
68.9; evolves from : ;66.7;;;
89.9; evolves from : ;89.8;88.7;;
97.9; evolves from : ;97.7;;;
106.9; evolves from : ;236.7;;;
107.9; evolves from : ;236.7;;;
124.9; evolves from : ;238.7;;;
135.9; evolves from : ;135.8;133.7;;
136.9; evolves from : ;133.7;;;
139.9; evolves from : ;138.7;;;
151.9; evolves from : ;151.8;151.7;;
162.9; evolves from : ;161.7;;;
171.9; evolves from : ;170.7;;;
184.9; evolves from : ;184.8;183.7;;
186.9; evolves from : ;186.7;60.7;;
192.9; evolves from : ;191.7;;;
195.9; evolves from : ;194.7;;;
196.9; evolves from : ;133.7;;;
230.9; evolves from : ;116.7;;;
271.9; evolves from : ;271.7;133.7;;
272.9; evolves from : ;133.7;;;
288.9; evolves from : ;285.7;;;
299.9; evolves from : ;297.7;;;
302.9; evolves from : ;302.8;;;
314.9; evolves from : ;314.7;;;
339.9; evolves from : ;133.7;;;
354.9; evolves from : ;403.7;;;
361.9; evolves from : ;410.7;409.7;;
18.12; evolves from : ;16.10;;;
47.12; evolves from : ;46.10;;;
53.12; evolves from : ;52.10;;;
57.12; evolves from : ;56.10;;;
71.12; evolves from : ;69.10;;;
73.12; evolves from : ;72.10;;;
76.12; evolves from : ;74.10;;;
80.12; evolves from : ;80.10;;;
101.12; evolves from : ;101.10;;;
106.12; evolves from : ;236.10;;;
107.12; evolves from : ;236.10;;;
122.12; evolves from : ;258.10;;;
127.12; evolves from : ;127.11;127.10;;
134.12; evolves from : ;133.10;;;
135.12; evolves from : ;133.10;;;
136.12; evolves from : ;133.10;;;
141.12; evolves from : ;140.10;;;
146.12; evolves from : ;146.10;;;
149.12; evolves from : ;149.10;;;
154.12; evolves from : ;152.10;;;
157.12; evolves from : ;155.10;;;
160.12; evolves from : ;158.10;;;
185.12; evolves from : ;257.10;;;
186.12; evolves from : ;186.10;;;
196.12; evolves from : ;133.10;;;
197.12; evolves from : ;133.10;;;
208.12; evolves from : ;95.10;;;
212.12; evolves from : ;212.10;123.10;;
214.12; evolves from : ;214.11;214.10;;
217.12; evolves from : ;216.10;;;
222.12; evolves from : ;222.10;;;
225.12; evolves from : ;225.10;;;
237.12; evolves from : ;236.10;;;
249.12; evolves from : ;249.10;;;
250.12; evolves from : ;250.11;;;
263.12; evolves from : ;81.10;;;
266.12; evolves from : ;114.10;;;
271.12; evolves from : ;133.10;;;
272.12; evolves from : ;133.10;;;
273.12; evolves from : ;207.10;;;
274.12; evolves from : ;220.10;;;
281.12; evolves from : ;279.10;;;
284.12; evolves from : ;282.10;;;
288.12; evolves from : ;285.10;;;
293.12; evolves from : ;293.10;291.10;;
308.12; evolves from : ;307.10;;;
309.12; evolves from : ;309.10;;;
313.12; evolves from : ;311.10;;;
314.12; evolves from : ;314.10;;;
318.12; evolves from : ;316.10;;;
321.12; evolves from : ;321.10;319.10;;
339.12; evolves from : ;133.10;;;
345.12; evolves from : ;345.10;;;
354.12; evolves from : ;403.10;;;
362.12; evolves from : ;411.10;;;
367.12; evolves from : ;366.10;;;
9.15; evolves from : ;7.13;;;
22.15; evolves from : ;21.13;;;
24.15; evolves from : ;23.13;;;
26.15; evolves from : ;25.13;172.13;;
31.15; evolves from : ;29.13;;;
45.15; evolves from : ;43.13;;;
49.15; evolves from : ;49.13;48.13;;
53.15; evolves from : ;52.13;;;
55.15; evolves from : ;54.13;;;
62.15; evolves from : ;61.13;60.13;;
65.15; evolves from : ;63.13;;;
103.15; evolves from : ;102.13;;;
105.15; evolves from : ;104.13;;;
106.15; evolves from : ;106.13;;;
122.15; evolves from : ;258.13;;;
143.15; evolves from : ;143.13;;;
144.15; evolves from : ;144.13;;;
151.15; evolves from : ;151.14;;;
162.15; evolves from : ;161.13;;;
164.15; evolves from : ;163.13;;;
171.15; evolves from : ;170.13;;;
182.15; evolves from : ;43.13;;;
186.15; evolves from : ;61.13;60.13;;
206.15; evolves from : ;206.14;;;
217.15; evolves from : ;216.13;;;
232.15; evolves from : ;232.13;;;
245.15; evolves from : ;245.13;;;
254.15; evolves from : ;190.13;;;
255.15; evolves from : ;255.13;;;
265.15; evolves from : ;265.13;;;
266.15; evolves from : ;114.13;;;
267.15; evolves from : ;239.13;;;
284.15; evolves from : ;282.13;;;
293.15; evolves from : ;293.14;291.13;;
295.15; evolves from : ;295.13;;;
313.15; evolves from : ;311.13;;;
318.15; evolves from : ;318.13;;;
335.15; evolves from : ;335.13;;;
342.15; evolves from : ;342.13;;;
343.15; evolves from : ;343.13;;;
345.15; evolves from : ;345.13;;;
346.15; evolves from : ;346.14;;;
352.15; evolves from : ;400.13;;;
367.15; evolves from : ;367.13;;;
6.18; evolves from : ;4.16;;;
47.18; evolves from : ;46.16;;;
49.18; evolves from : ;48.16;;;
53.18; evolves from : ;52.16;;;
57.18; evolves from : ;56.16;;;
59.18; evolves from : ;58.16;;;
62.18; evolves from : ;60.16;;;
71.18; evolves from : ;70.16;69.16;;
76.18; evolves from : ;74.16;;;
89.18; evolves from : ;89.17;89.16;88.16;
91.18; evolves from : ;90.16;;;
94.18; evolves from : ;92.16;;;
107.18; evolves from : ;107.17;;;
110.18; evolves from : ;109.16;;;
134.18; evolves from : ;133.16;;;
136.18; evolves from : ;133.16;;;
144.18; evolves from : ;144.16;;;
149.18; evolves from : ;147.16;;;
166.18; evolves from : ;165.16;;;
168.18; evolves from : ;168.17;167.16;;
186.18; evolves from : ;60.16;;;
195.18; evolves from : ;195.17;194.16;;
197.18; evolves from : ;133.16;;;
199.18; evolves from : ;79.16;;;
205.18; evolves from : ;204.16;;;
208.18; evolves from : ;95.16;;;
210.18; evolves from : ;209.16;;;
225.18; evolves from : ;225.16;;;
229.18; evolves from : ;228.16;;;
234.18; evolves from : ;234.17;;;
237.18; evolves from : ;237.17;;;
245.18; evolves from : ;245.16;;;
250.18; evolves from : ;250.16;;;
265.18; evolves from : ;265.16;;;
271.18; evolves from : ;133.16;;;
273.18; evolves from : ;207.16;;;
281.18; evolves from : ;279.16;;;
284.18; evolves from : ;282.16;;;
288.18; evolves from : ;285.16;;;
310.18; evolves from : ;310.17;;;
313.18; evolves from : ;311.16;;;
321.18; evolves from : ;319.16;;;
324.18; evolves from : ;322.16;;;
338.18; evolves from : ;338.17;;;
339.18; evolves from : ;133.16;;;
360.18; evolves from : ;408.16;;;
12.20; evolves from : ;12.19;11.19;10.19;
20.20; evolves from : ;20.19;19.19;;
24.20; evolves from : ;23.19;;;
26.20; evolves from : ;25.19;172.19;;
45.20; evolves from : ;43.19;;;
47.20; evolves from : ;46.19;;;
51.20; evolves from : ;50.19;;;
55.20; evolves from : ;54.19;;;
62.20; evolves from : ;60.19;;;
78.20; evolves from : ;77.19;;;
80.20; evolves from : ;79.19;;;
85.20; evolves from : ;84.19;;;
97.20; evolves from : ;96.19;;;
101.20; evolves from : ;100.19;;;
105.20; evolves from : ;104.19;;;
106.20; evolves from : ;236.19;;;
107.20; evolves from : ;236.19;;;
130.20; evolves from : ;129.19;;;
